Name,Description,Digikey Link,Digikey Part #,Quantity
MLG0603P3N3BT000,3.3 nH Unshielded Multilayer Inductor 450 mA 200mOhm Max 0201 (0603 Metric),https://www.digikey.com/en/products/detail/tdk-corporation/MLG0603P3N3BT000/4742098,445-MLG0603P3N3BT000CT-ND,at least 2 but I would argue that ordering 10 is not that much more expensive and might give me more luck in getting a closer inductor value with the error
MATCHING NETWORK INDUCTORS,0201 Package,,,
150141GS73100,Green LEDs,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150141GS73100/4489957?msockid=0c917f7f616a694d30ac6b5360ee6816,732-4997-1-ND,6
61000418321,"WR-PHD Pin Header, SMT, Vertical, pitch 2.54mm, 1 Row, 4P",https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61000418221/4846814,732-5365-5-ND,1
CMA-4544PF-W,CMA Series 9.7 mm Electret Condenser Omni-Directional Pin Mount 3 V Microphone,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/CMA-4544PF-W/1869981?msockid=0c917f7f616a694d30ac6b5360ee6816,102-1721-ND,1
9901,MACHINE SCREW PAN PHILLIPS 4-40,https://www.digikey.com/en/products/detail/keystone-electronics/9901/317322?msockid=0c917f7f616a694d30ac6b5360ee6816,36-9901-ND,6
3 Pin Potentiometers,,,,2
GENERAL RESISTORS,0805 Packages,,,
3-2213818-2,Tactile Switches 6X6 ILL TACT THT 160GF HI COLD WHITE,https://www.digikey.com/en/products/detail/te-connectivity-alcoswitch-switches/FSMIJ62BW04/7042486?s=N4IgTCBcDaIMwFoxgIxwBwvUkBdAvkA,FSMIJ62BW04-ND,16
ASE04508MR-LW150-R,SPEAKER 8OHM 3W TOP PORT 82DB,https://www.digikey.com/en/products/detail/pui-audio-inc/ASE04508MR-LW150-R/4700908?msockid=0c917f7f616a694d30ac6b5360ee6816,668-1433-ND,1
EG1218,"Slide Switch, SPDT, 500 V, -20 to 70 degC, 3-Pin THD, RoHS, Bulk",https://www.digikey.com/en/products/detail/e-switch/EG1218/101726,EG1903-ND,3
TL3342F160QG,"Tactile Switch, SPST-NO, 50 mA, 12 V, 4-Pin SMD, RoHS, Tape and Reel",https://www.digikey.com/en/products/detail/e-switch/TL3342F160QG-TR/379003?s=N4IgTCBcDaICoBkDMSAsYBiBGAbABgEUBxEAXQF8g,EG2531CT-ND,1
ST-3-24,Split Bobbin Low Power Transformer,,,1
5003,"Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS",https://www.digikey.com/en/products/detail/keystone-electronics/5003/362668,36-5003-ND,11
CC2652R1FRGZR,RF IC'S + MODULES,,,1
HBS502-HF,Bridge Rectifier Package,https://www.digikey.com/en/products/detail/comchip-technology/HBS502-HF/16740309?s=N4IgTCBcDaIBICEDKBWADGAtHAYiAugL5A,641-HBS502-HFTR-ND,1
LM1085IS-ADJ,"3A Low Dropout Positive Regulators, 3-pin TO-263",https://www.digikey.com/en/products/detail/texas-instruments/LM1085IS-ADJ/5055938,LM1085IS-ADJ-ND,4
L5970AD,"Up to 1 A step down switching regulator, 8-Pin SO",https://www.digikey.com/en/products/detail/stmicroelectronics/L5970AD/2035011,497-14764-5-ND,3
STM704M6F,No Description Available,https://www.digikey.com/en/products/detail/stmicroelectronics/STM704M6F/700241?s=N4IgTCBcDaIMoBUCyB2ADAFiQNgGIgF0BfIA,497-3830-1-ND,1
STM6321MWY6F,No Description Available,https://www.digikey.com/en/products/detail/stmicroelectronics/STM6321MWY6F/954063?s=N4IgTCBcDaIMoBUCyA2AzGAjEg6gTRQDEQBdAXyA,497-STM6321MWY6FCT-ND,1
NC7SZ08M5X,"TinyLogic(R) UHS 2-Input AND Gate, 1.65 to 5.5 V, -40 to 85 degC, 5-Pin SOT23, RoHS, Tape and Reel",https://www.digikey.com/en/products/detail/onsemi/NC7SZ08M5X/673363,NC7SZ08M5XCT-ND,2
74LCX125MTCX,"Bus Driver, LVC/LCX/Z Series, 4-Func, 1-Bit, True Output, CMOS, PDSO14",https://www.digikey.com/en/products/detail/onsemi/74LCX125MTCX/977121?s=N4IgTCBcDaIOwBYAyBhAGgRjAVgLIBV0QBdAXyA,74LCX125MTCXCT-ND,2
MC74LCX245DTR2G,No Description Available,https://www.digikey.com/en/products/detail/onsemi/MC74LCX245DTR2G/1749000?s=N4IgTCBcDaILIGEDsAWAMggGmFBWAIgCoBKYA4iALoC%2BQA,MC74LCX245DTR2GOSCT-ND,1
LMV358AIDR,IC OPAMP GP 2 CIRCUIT 8SOIC,https://www.digikey.com/en/products/detail/texas-instruments/LMV358AIDR/8037991?s=N4IgTCBcDaIDIFkBqBmArADgIIEkAiASiALoC%2BQA,296-47593-1-ND,1
MPU-9250,"9-axis MotionTracking device, 2.4 to 3,6 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel",,,1
LM386MX-1/NOPB,IC AMP CLASS AB MONO 325MW 8SOIC,https://www.digikey.com/en/products/detail/texas-instruments/LM386MX-1-NOPB/212680?s=N4IgTCBcDaIDIFkDMAOAbAgGgWgIwHoA5AeQAUAhEAXQF8g,LM386MX-1/NOPBCT-ND,2
ABS07-166-32.768KHZ-T,Crystal 32.768kHz 10ppm 7pF -40C +85C,https://www.digikey.com/en/products/detail/abracon-llc/ABS07-166-32-768KHZ-T/8827199?s=N4IgTCBcDaIIICEDKAGA7AWgIwDYcYGYwA6NHADgGkAJALQwBUQBdAXyA,535-14514-1-ND,1
ABM8-48.000MHZ-B2-T,Crystal 48MHz ±20ppm 18pF SMD-4 3.2mm x 2.5mm,https://www.digikey.com/en/products/detail/abracon-llc/ABM8-48-000MHZ-B2-T/675344,535-9149-1-ND,1
120 - 8 V transformer,,,,1
C14 style AC connector,,,,1
